simulator,experiment_folder,model,workload,stage_index,metric_name,predicted,actual,mape,mpe,absolute_error,exp_id,hardware,dp,cpu_offload,gpu_mem_util,precision,tp,max_num_batched_tokens
blis-evolved,6-llama-2-70b-tp4-codegen,meta-llama/Llama-2-70b-hf,codegen,0,ttft_p90,59.42770000000001,58.70031809899956,1.2391447347418134,1.2391447347418134,0.7273819010004487,6,H100,,True,0.9,FP16,4,2048
blis-evolved,6-llama-2-70b-tp4-codegen,meta-llama/Llama-2-70b-hf,codegen,0,ttft_p99,68.42324999999995,106.22650030916692,35.58740069487603,-35.58740069487603,37.803250309166955,6,H100,,True,0.9,FP16,4,2048
blis-evolved,6-llama-2-70b-tp4-codegen,meta-llama/Llama-2-70b-hf,codegen,0,itl_mean,20.48431075837743,17.53909973942806,16.792258797231803,16.792258797231803,2.9452110189493688,6,H100,,True,0.9,FP16,4,2048
blis-evolved,6-llama-2-70b-tp4-codegen,meta-llama/Llama-2-70b-hf,codegen,1,e2e_mean,5383.496196556671,4741.8162398004715,13.5323665934216,13.5323665934216,641.6799567561993,6,H100,,True,0.9,FP16,4,2048
blis-evolved,6-llama-2-70b-tp4-codegen,meta-llama/Llama-2-70b-hf,codegen,1,e2e_p90,5587.3351,4803.023623398985,16.32953610263479,16.32953610263479,784.3114766010149,6,H100,,True,0.9,FP16,4,2048
blis-evolved,6-llama-2-70b-tp4-codegen,meta-llama/Llama-2-70b-hf,codegen,1,e2e_p99,5703.9024,4852.9770094299965,17.534090701780354,17.534090701780354,850.9253905700034,6,H100,,True,0.9,FP16,4,2048
blis-evolved,6-llama-2-70b-tp4-codegen,meta-llama/Llama-2-70b-hf,codegen,1,ttft_mean,70.32625657580105,56.67924893614023,24.07760846484879,24.07760846484879,13.64700763966082,6,H100,,True,0.9,FP16,4,2048
blis-evolved,6-llama-2-70b-tp4-codegen,meta-llama/Llama-2-70b-hf,codegen,1,ttft_p90,115.879,64.32824599833111,80.13704275880038,80.13704275880038,51.55075400166889,6,H100,,True,0.9,FP16,4,2048
blis-evolved,6-llama-2-70b-tp4-codegen,meta-llama/Llama-2-70b-hf,codegen,1,ttft_p99,159.496,67.67325566674118,135.68542466087706,135.68542466087706,91.82274433325884,6,H100,,True,0.9,FP16,4,2048
blis-evolved,6-llama-2-70b-tp4-codegen,meta-llama/Llama-2-70b-hf,codegen,1,itl_mean,21.594938780410043,19.206300756809966,12.436741743477796,12.436741743477796,2.388638023600077,6,H100,,True,0.9,FP16,4,2048
blis-evolved,6-llama-2-70b-tp4-codegen,meta-llama/Llama-2-70b-hf,codegen,-1,e2e_mean,5292.460115118577,4605.497935959306,14.916132603068457,14.916132603068457,686.9621791592708,6,H100,,True,0.9,FP16,4,2048
blis-evolved,6-llama-2-70b-tp4-codegen,meta-llama/Llama-2-70b-hf,codegen,-1,e2e_p90,5527.236,4795.994698698632,15.246916380032404,15.246916380032404,731.2413013013675,6,H100,,True,0.9,FP16,4,2048
blis-evolved,6-llama-2-70b-tp4-codegen,meta-llama/Llama-2-70b-hf,codegen,-1,e2e_p99,5690.87936,4895.560345320664,16.245719766063708,16.245719766063708,795.3190146793359,6,H100,,True,0.9,FP16,4,2048
blis-evolved,6-llama-2-70b-tp4-codegen,meta-llama/Llama-2-70b-hf,codegen,-1,ttft_mean,64.33223583662715,55.587112953642645,15.732284729875383,15.732284729875383,8.745122882984504,6,H100,,True,0.9,FP16,4,2048
blis-evolved,6-llama-2-70b-tp4-codegen,meta-llama/Llama-2-70b-hf,codegen,-1,ttft_p90,105.369,63.683215398850734,65.45803998756877,65.45803998756877,41.685784601149265,6,H100,,True,0.9,FP16,4,2048
blis-evolved,6-llama-2-70b-tp4-codegen,meta-llama/Llama-2-70b-hf,codegen,-1,ttft_p99,147.8605699999999,78.1680475201211,89.15730236442117,89.15730236442117,69.6925224798788,6,H100,,True,0.9,FP16,4,2048
blis-evolved,6-llama-2-70b-tp4-codegen,meta-llama/Llama-2-70b-hf,codegen,-1,itl_mean,21.249239346674592,18.650479254772804,13.934012399369012,13.934012399369012,2.598760091901788,6,H100,,True,0.9,FP16,4,2048
blis-evolved,7-llama-2-70b-tp4-roleplay,meta-llama/Llama-2-70b-hf,roleplay,0,e2e_mean,5547.080424722222,4561.57099792086,21.604605677529797,21.604605677529797,985.5094268013628,7,H100,,True,0.9,FP16,4,2048
blis-evolved,7-llama-2-70b-tp4-roleplay,meta-llama/Llama-2-70b-hf,roleplay,0,e2e_p90,5746.888,4703.167359705549,22.191866894564335,22.191866894564335,1043.7206402944512,7,H100,,True,0.9,FP16,4,2048
blis-evolved,7-llama-2-70b-tp4-roleplay,meta-llama/Llama-2-70b-hf,roleplay,0,e2e_p99,5746.888,5934.519238875306,3.1616923178239658,-3.1616923178239658,187.63123887530585,7,H100,,True,0.9,FP16,4,2048
blis-evolved,7-llama-2-70b-tp4-roleplay,meta-llama/Llama-2-70b-hf,roleplay,0,ttft_mean,103.51529222222224,54.75399409082153,89.05523504005822,89.05523504005822,48.7612981314007,7,H100,,True,0.9,FP16,4,2048
blis-evolved,7-llama-2-70b-tp4-roleplay,meta-llama/Llama-2-70b-hf,roleplay,0,ttft_p90,204.619,61.09883810422616,234.89834888668148,234.89834888668148,143.52016189577384,7,H100,,True,0.9,FP16,4,2048
blis-evolved,7-llama-2-70b-tp4-roleplay,meta-llama/Llama-2-70b-hf,roleplay,0,ttft_p99,248.394,96.26448944953172,158.03284411561208,158.03284411561208,152.1295105504683,7,H100,,True,0.9,FP16,4,2048
blis-evolved,7-llama-2-70b-tp4-roleplay,meta-llama/Llama-2-70b-hf,roleplay,0,itl_mean,21.77100053,18.104847285940405,20.249567346014572,20.249567346014572,3.6661532440595934,7,H100,,True,0.9,FP16,4,2048
blis-evolved,7-llama-2-70b-tp4-roleplay,meta-llama/Llama-2-70b-hf,roleplay,-1,e2e_mean,5547.080424722222,4561.57099792086,21.604605677529797,21.604605677529797,985.5094268013628,7,H100,,True,0.9,FP16,4,2048
blis-evolved,7-llama-2-70b-tp4-roleplay,meta-llama/Llama-2-70b-hf,roleplay,-1,e2e_p90,5746.888,4703.167359705549,22.191866894564335,22.191866894564335,1043.7206402944512,7,H100,,True,0.9,FP16,4,2048
blis-evolved,7-llama-2-70b-tp4-roleplay,meta-llama/Llama-2-70b-hf,roleplay,-1,e2e_p99,5746.888,5934.519238875306,3.1616923178239658,-3.1616923178239658,187.63123887530585,7,H100,,True,0.9,FP16,4,2048
blis-evolved,7-llama-2-70b-tp4-roleplay,meta-llama/Llama-2-70b-hf,roleplay,-1,ttft_mean,103.51529222222224,54.75399409082153,89.05523504005822,89.05523504005822,48.7612981314007,7,H100,,True,0.9,FP16,4,2048
blis-evolved,7-llama-2-70b-tp4-roleplay,meta-llama/Llama-2-70b-hf,roleplay,-1,ttft_p90,204.619,61.09883810422616,234.89834888668148,234.89834888668148,143.52016189577384,7,H100,,True,0.9,FP16,4,2048
blis-evolved,7-llama-2-70b-tp4-roleplay,meta-llama/Llama-2-70b-hf,roleplay,-1,ttft_p99,248.394,96.26448944953172,158.03284411561208,158.03284411561208,152.1295105504683,7,H100,,True,0.9,FP16,4,2048
blis-evolved,7-llama-2-70b-tp4-roleplay,meta-llama/Llama-2-70b-hf,roleplay,-1,itl_mean,21.77100053,18.104847285940405,20.24956734601459,20.24956734601459,3.666153244059597,7,H100,,True,0.9,FP16,4,2048
