simulator,experiment_folder,model,workload,stage_index,metric_name,predicted,actual,mape,mpe,absolute_error,exp_id,hardware,dp,cpu_offload,gpu_mem_util,precision,tp,max_num_batched_tokens
blis-roofline,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,-1,ttft_mean,36.46777777777778,68.93669608209858,47.099614791014474,-47.099614791014474,32.468918304320795,9,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,-1,ttft_p90,90.389,75.78027602285147,19.27773920055831,19.27773920055831,14.608723977148529,9,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,-1,ttft_p99,211.432,262.36633852124146,19.413442596454793,-19.413442596454793,50.93433852124147,9,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,9-mixtral-8x7b-tp2-general,mistralai/Mixtral-8x7B-v0.1,general,-1,itl_mean,0.6255515000519049,20.335839809312738,96.92389640202892,-96.92389640202892,19.710288309260832,9,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,0,e2e_mean,126.21845859872612,4518.516301372908,97.20663929971047,-97.20663929971047,4392.297842774182,10,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,0,e2e_p90,148.983,4610.824852803489,96.76884278288266,-96.76884278288266,4461.841852803489,10,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,0,e2e_p99,180.257,8157.533229928262,97.79030014442756,-97.79030014442756,7977.276229928262,10,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,0,ttft_mean,13.808146496815286,63.003405224299065,78.08349176102979,-78.08349176102979,49.195258727483775,10,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,0,ttft_p90,27.845,61.06605250679422,54.40183398640029,-54.40183398640029,33.22105250679422,10,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,0,ttft_p99,46.644,481.5882299555197,90.31454734591247,-90.31454734591247,434.9442299555197,10,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,0,itl_mean,0.4569524882191497,18.43533368518837,97.52132239089178,-97.52132239089178,17.97838119696922,10,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,1,e2e_mean,135.61203076923078,4753.587089595136,97.14716427377412,-97.14716427377412,4617.975058825905,10,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,1,e2e_p90,174.134,4851.8590499938,96.41098395057,-96.41098395057,4677.7250499938,10,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,1,e2e_p99,197.7073,4972.549942743499,96.02402585642167,-96.02402585642167,4774.842642743499,10,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,1,ttft_mean,19.64837564102564,56.7807600697682,65.3960679341328,-65.3960679341328,37.13238442874256,10,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,1,ttft_p90,46.9,64.5072968909517,27.29504682348802,-27.29504682348802,17.607296890951694,10,H100,1.0,True,0.9,FP16,2,2048
blis-roofline,10-mixtral-8x7b-tp2-codegen,mistralai/Mixtral-8x7B-v0.1,codegen,1,ttft_p99,55.797,68.14643126708688,18.12190460669269,-18.12190460669269,12.349431267086883,10,H100,1.0,True,0.9,FP16,2,2048
